fontName,letter,mass,bending,buckling,torsion,source
filled,,1.0,1.0,1.0,1.0,
ControlIPE100,,0.1032,0.19631710810417402,0.002590205201593139,0.013363550013417408,
ABeeZee,X,0.2744,0.24670575971083408,0.07204888778322673,0.04107241311087201,google
ABeeZee,K,0.2858,0.23612330326961362,0.06806357776403911,0.042385022439237266,google
ABeeZee,A,0.2952,0.22223404855865553,0.09111655184474533,0.13854192638576782,google
ABeeZee,O,0.3323,0.3715647119378007,0.1489294097652411,0.2906952143692842,google
ABeeZee,W,0.275,0.17856113044719635,0.08052764716459232,0.038567552295351276,google
ABeeZee,Y,0.2126,0.1520288319167955,0.046928010719449444,0.027494745552310892,google
ABeeZee,B,0.3675,0.40087146836642873,0.13840947213115562,0.29436785128080317,google
ABeeZee,L,0.1914,0.1378383112659373,0.024911635972225985,0.027115775618307653,google
ABeeZee,C,0.2203,0.19794266793286874,0.06848957242894546,0.05880857557360559,google
ABeeZee,Z,0.2729,0.3202581106474185,0.0679752753139848,0.07510956708384266,google
ABeeZee,D,0.3378,0.40383417203577404,0.12182733114773481,0.2648898355146572,google
ABeeZee,H,0.3292,0.2703001605141089,0.12148335800547304,0.08724696036623525,google
ABeeZee,U,0.2881,0.2824381320108887,0.060896670123229336,0.08271912248627257,google
ABeeZee,Q,0.3587,0.38801984285267915,0.16336199570926452,0.3146344773191343,google
ABeeZee,I,0.1354,0.1348087236506578,0.0024633550990046577,0.01077629051441438,google
ABeeZee,S,0.2627,0.2877532731854444,0.0739996699434224,0.06037277780644889,google
ABeeZee,E,0.2899,0.273149352264232,0.08043207854361303,0.07118558348327911,google
ABeeZee,P,0.2771,0.19659740089376068,0.0752974819638859,0.1130912218427509,google
ABeeZee,V,0.2578,0.2279416976814722,0.05097465214746141,0.040839438142419346,google
ABeeZee,G,0.3063,0.27224382236435113,0.108137865125089,0.10255105500570184,google
ABeeZee,R,0.3271,0.28750203447834566,0.09372424511873416,0.17804765184572988,google
ABeeZee,J,0.1625,0.10550069831141004,0.01328502355963556,0.02025145125655494,google
ABeeZee,F,0.2316,0.17002204479199493,0.04730585160754795,0.039674609772012995,google
ABeeZee,N,0.3821,0.313483469401261,0.09751632425349331,0.10900594136041335,google
ABeeZee,T,0.2095,0.18592963948623945,0.03334519730732947,0.03347756866188753,google
ABeeZee,H_rot,0.3292,0.4341061173574729,0.12150293972033863,0.08725770817791968,google
ADLaM Display,X,0.443,0.3567521849627724,0.20524223443376824,0.14439657422755794,windows
ADLaM Display,T,0.3276,0.28127976992341136,0.08439793000337446,0.09211222913482417,windows
ADLaM Display,A,0.4974,0.3859065158456867,0.0,0.29935580267824996,windows
ADLaM Display,S,0.402,0.4006125615534478,0.14600200497055354,0.12340926304509824,windows
ADLaM Display,M,0.5555,0.3867618916180661,0.3217657534280317,0.23262486643168298,windows
ADLaM Display,O,0.5202,0.5248481935563108,0.3341244017724531,0.41962736763208264,windows
ADLaM Display,P,0.4251,0.29605008970072716,0.14134796091538976,0.15254025343077815,windows
ADLaM Display,G,0.4566,0.44889425950622797,0.2352638358978401,0.2304637791178631,windows
ADLaM Display,U,0.4429,0.371667180143546,0.17971950117120822,0.18225796528149976,windows
ADLaM Display,Z,0.4418,0.5149437029937615,0.18053232707128977,0.2052497866704768,windows
ADLaM Display,W,0.4044,0.23554477937620313,0.1792330371855534,0.0973516881608844,windows
ADLaM Display,R,0.5117,0.4602704773485407,0.18668394126963406,0.1936574153123329,windows
ADLaM Display,Q,0.3624,0.2953082741621348,0.14521504171274732,0.20908826496622987,windows
ADLaM Display,D,0.5601,0.610238115416778,0.37109812779101015,0.514944172179616,windows
ADLaM Display,B,0.5339,0.5348832638594796,0.0,0.46775995659714886,windows
ADLaM Display,F,0.3439,0.2508814310063518,0.08071940018374793,0.09893880164456785,windows
ADLaM Display,L,0.2705,0.18362018426006824,0.043558970519050916,0.06262031098990851,windows
ADLaM Display,E,0.4094,0.4431338281587146,0.13144503203272978,0.14536682467989803,windows
ADLaM Display,V,0.4176,0.340869505344557,0.16342973120093796,0.17275124380100793,windows
ADLaM Display,J,0.1746,0.11533004669748188,0.008478513070486785,0.022206538604470555,windows
ADLaM Display,K,0.459,0.34620185621864646,0.2080834304208714,0.15331616741664875,windows
ADLaM Display,C,0.3882,0.4040092215994425,0.17956186220876819,0.18514514050849193,windows
ADLaM Display,H,0.4988,0.37397621217035376,0.0,0.21344987789337755,windows
ADLaM Display,Y,0.3421,0.23143222479237313,0.12232561805557267,0.1077095513025612,windows
ADLaM Display,I,0.2092,0.18099090032197293,0.0,0.030889132825707842,windows
ADLaM Display,H_rot,0.4988,0.5994517724118389,0.29444371919574575,0.21048323243853084,windows
AR One Sans,F,0.2189,0.1729156093733849,0.041800680310647285,0.033053373481226965,windows
AR One Sans,S,0.2386,0.24678994814740463,0.06531733462071819,0.052149793041127386,windows
AR One Sans,P,0.2589,0.1868887476479412,0.06594567367256911,0.13166823398701494,windows
AR One Sans,C,0.2129,0.1864608567746215,0.0,0.057853827726256815,windows
AR One Sans,L,0.1759,0.1314549032705454,0.022194211201726148,0.02516153682925737,windows
AR One Sans,H,0.3113,0.25750011650287796,0.11900128327967863,0.08336458589829662,windows
AR One Sans,B,0.365,0.41068291507022314,0.0,0.39988137062407286,windows
AR One Sans,O,0.3096,0.3583568105873287,0.13954496528248164,0.2756517644934458,windows
AR One Sans,N,0.3608,0.30050733013281206,0.09495863208790344,0.11960019565324902,windows
AR One Sans,T,0.1933,0.17359909906709933,0.030595013189947562,0.028926096825114343,windows
AR One Sans,X,0.2616,0.2635880479077643,0.06391323945604706,0.04030011223542315,windows
AR One Sans,E,0.2672,0.24882857803383082,0.06825422238424005,0.06181996334470846,windows
AR One Sans,R,0.3203,0.29988748194730397,0.09630053375567439,0.15938673452648036,windows
AR One Sans,I,0.1786,0.2598054460166042,0.013164331229017393,0.029522118308297214,windows
AR One Sans,Y,0.1963,0.152681186925868,0.035045234992893935,0.024520008410171518,windows
AR One Sans,W,0.2848,0.2014843441457257,0.0766792859940245,0.051128873658617256,windows
AR One Sans,G,0.3005,0.26280016205498,0.11265274353372365,0.11657996052315679,windows
AR One Sans,D,0.3337,0.42577821383495346,0.13181449835094866,0.30811632020782814,windows
AR One Sans,Z,0.2611,0.3152079454126922,0.06320521883490028,0.0700550822671903,windows
AR One Sans,V,0.2395,0.2083196077735391,0.04273481431854401,0.03552914535904671,windows
AR One Sans,Q,0.2333,0.20944936219596955,0.08619489101975167,0.1415798490919988,windows
AR One Sans,U,0.273,0.2772280018320554,0.06024899566739165,0.08336521899096971,windows
AR One Sans,K,0.2843,0.25655299527962727,0.07072964671630652,0.04953517570171221,windows
AR One Sans,J,0.1867,0.22838472589782027,0.031059062885630463,0.03756197003482302,windows
AR One Sans,M,0.429,0.3854264968889297,0.1344549509718196,0.1485057002555218,windows
AR One Sans,A,0.2813,0.21528577725295356,0.08021594074745499,0.09824727993688706,windows
AR One Sans,H_rot,0.3113,0.42682940653764434,0.12134936488739899,0.08345036778060569,windows
Abel,Y,0.1388,0.10570042791526124,0.01658238729429963,0.011469761518155852,google
Abel,T,0.1307,0.12283160485347014,0.011719471613902773,0.011724082938260395,google
Abel,I,0.0907,0.09021286117023668,0.000669596124052011,0.0038945478850773148,google
Abel,J,0.1278,0.09120998423965908,0.014329381685800916,0.012616936443610394,google
Abel,C,0.1713,0.15415652584930584,0.039809995788083974,0.035629423364519276,google
Abel,V,0.1638,0.13354157754409,0.019159414863876293,0.014963642022729658,google
Abel,A,0.1884,0.13460011640506217,0.03358744405664165,0.03734672745587962,google
Abel,B,0.2583,0.2982518570510413,0.07435977644824639,0.1652858795435677,google
Abel,R,0.2367,0.2244917171355642,0.05875622858634797,0.10084220934431001,google
Abel,D,0.2306,0.29635931995823983,0.0641057314078391,0.143259883911003,google
Abel,O,0.2091,0.24602610994783328,0.052727277205652345,0.11601828301398898,google
Abel,X,0.1847,0.1912699510913255,0.02584269109413755,0.018541490858294762,google
Abel,S,0.1908,0.22092800020766032,0.046510267468983305,0.029740517146998578,google
Abel,Q,0.1574,0.14005102821463636,0.025191691441435897,0.05480126122895983,google
Abel,Z,0.1728,0.19935618068669325,0.030861152094504556,0.03282550098553416,google
Abel,H,0.2127,0.17903466141764982,0.06249067097546497,0.027631497929092103,google
Abel,G,0.2096,0.1779053696838776,0.04750154560076455,0.0506336020714262,google
Abel,P,0.1963,0.1442365501808869,0.04721779546837245,0.06940877359539334,google
Abel,W,0.2879,0.22905586427337746,0.057759038993475224,0.042571405926450555,google
Abel,E,0.2033,0.16931026722556522,0.057199174365934226,0.036031390689005745,google
Abel,F,0.1631,0.11834695166600422,0.03114835057920003,0.018961398267130416,google
Abel,U,0.1952,0.19687000195864957,0.02625144399752704,0.029166278506396272,google
Abel,H_rot,0.2127,0.2239317469335012,0.06249067097546497,0.027631757801293913,google
Abhaya Libre,Z,0.2634,0.19473319930452987,0.022737326689507894,0.07168303104256567,google
Abhaya Libre,S,0.2473,0.1925654107869442,0.044368101755950254,0.05359594436222552,google
Abhaya Libre,I,0.1656,0.19447493238117317,0.007906702365323369,0.03127403336936375,google
Abhaya Libre,W,0.1806,0.10394635088378248,0.005051343502688484,0.02380588433862755,google
Abhaya Libre,T,0.2393,0.24300962103926807,0.0,0.08559022141992358,google
Abhaya Libre,R,0.3437,0.3630714473147203,0.0568777386690838,0.26986627332830565,google
Abhaya Libre,F,0.2233,0.2001381131839024,0.013011372173274778,0.06498934624409214,google
Abhaya Libre,O,0.2858,0.25961482199652364,0.06561438554056617,0.4514378701758106,google
Abhaya Libre,D,0.3154,0.3488208184817039,0.052673827744950004,0.46724666579603896,google
Abhaya Libre,C,0.2253,0.17902122203997395,0.04239675263737374,0.091641703641532,google
